sales_id,product_id,store_id,product_name,brand,category,volume_ml,alcohol_percentage,store_name,city,state,region,store_type,sales_date,quantity_sold,unit_price,total_sales
75,109,114,Baileys Course,Baileys,Vodka,750,28.78,Dunlap-Palmer,Trevorstad,OH,West,Wholesale,2025-04-27,23,73.9,1699.7
76,109,103,Johnnie Walker Various,Johnnie,Liqueur,750,8.43,Moore Group,North Melanie,IL,South,Retail,2025-05-09,4,52.75,211.0
77,110,120,Ciroc From,Ciroc,Tequila,700,32.21,"Martinez, Fields and Blake",North Amy,CO,Southeast,Retail,2025-05-20,21,97.61,2049.81
78,104,149,Guinness Ever,Guinness,Tequila,750,30.48,Wright-Kennedy,Taylormouth,RI,Southeast,Wholesale,2025-05-06,31,93.07,2885.17
79,102,147,Ciroc Social,Ciroc,Tequila,750,31.72,Davis-Jensen,Cassidyberg,OK,Southeast,Retail,2025-04-05,27,91.15,2461.05
80,106,131,Johnnie Walker On,Johnnie,Whisky,1000,27.12,"Williams, Hall and Green",Kathleenfurt,MN,Southeast,Wholesale,2025-04-15,15,80.17,1202.55
81,109,116,Don Julio Few,Don,Rum,700,18.53,Kirby LLC,North Ann,AL,Northeast,Retail,2025-04-28,48,7.09,340.32
82,102,143,Baileys White,Baileys,Vodka,1000,5.78,Williams-Mason,South Angelhaven,IL,Midwest,Wholesale,2025-04-08,34,57.95,1970.3
83,107,132,Captain Morgan Make,Captain,Beer,750,8.25,Ruiz-Finley,Mendozaview,AZ,West,Retail,2025-05-18,23,40.69,935.87
84,107,139,Johnnie Walker Space,Johnnie,Rum,700,14.05,"Richard, Nguyen and Elliott",Jillborough,NJ,Northeast,Wholesale,2025-04-20,6,93.52,561.12
85,104,111,Don Julio Near,Don,Vodka,1000,18.6,Chung PLC,North Pamela,MA,West,Wholesale,2025-04-02,15,14.92,223.8
86,101,132,Ciroc Thought,Ciroc,Vodka,1000,40.72,Brown-House,East Xaviershire,GA,Southeast,Wholesale,2025-04-23,38,98.84,3755.92
87,110,149,Baileys No,Baileys,Beer,750,4.94,Wagner Group,New Krystal,AL,Southeast,Retail,2025-05-13,32,82.53,2640.96
88,103,136,Don Julio Realize,Don,Vodka,1000,20.06,Dawson and Sons,North Sarah,NY,Northeast,Wholesale,2025-04-22,25,17.4,435.0
89,107,143,Don Julio Guy,Don,Beer,500,8.6,Fletcher LLC,Thorntonhaven,TN,Northeast,Retail,2025-05-09,30,93.69,2810.7
90,102,148,Smirnoff Dream,Smirnoff,Vodka,1000,15.67,"Schroeder, Lee and Hall",Taylorville,IN,Southeast,Retail,2025-04-06,29,92.28,2676.12
91,104,115,Smirnoff Truth,Smirnoff,Liqueur,700,7.41,Hernandez-Nichols,Port Ian,WV,Northeast,Wholesale,2025-05-08,27,32.1,866.7
92,108,142,Ciroc Itself,Ciroc,Whisky,700,29.85,Rice-Mason,Maryton,AS,Midwest,Wholesale,2025-05-02,8,94.18,753.44
93,103,143,Tanqueray Impact,Tanqueray,Tequila,500,16.63,Hawkins-Jimenez,Bobbyville,ME,West,Retail,2025-04-23,41,95.79,3927.39
94,103,123,Tanqueray Glass,Tanqueray,Vodka,1000,37.39,"Skinner, Stevens and Brooks",Schultzfort,HI,West,Wholesale,2025-05-02,44,29.92,1316.48
95,102,105,Captain Morgan Management,Captain,Beer,1000,24.64,Martinez Inc,New Ian,AL,Midwest,Wholesale,2025-05-01,34,31.91,1084.94
96,110,117,Don Julio Either,Don,Tequila,700,13.62,"Short, Porter and Arnold",Marialand,TX,Southeast,Retail,2025-04-20,40,87.87,3514.8
97,105,149,Captain Morgan Visit,Captain,Gin,700,25.59,Nguyen-Blanchard,Cisnerosville,CT,South,Retail,2025-03-24,26,7.79,202.54
98,104,118,Guinness Minute,Guinness,Rum,750,35.79,Gray-Barnett,Smithland,VA,West,Wholesale,2025-03-28,17,82.4,1400.8
99,107,123,Don Julio Church,Don,Tequila,750,15.65,Mack Ltd,Jodiburgh,ND,South,Retail,2025-04-25,17,51.8,880.6
100,102,148,Johnnie Walker Young,Johnnie,Whisky,1000,35.48,Juarez-Smith,Smithport,IA,Midwest,Retail,2025-05-05,31,31.44,974.64
101,103,128,Captain Morgan Rise,Captain,Tequila,700,20.7,Nichols-Lee,Barnesside,OR,Midwest,Wholesale,2025-04-14,33,68.35,2255.55
102,110,128,Tanqueray Fight,Tanqueray,Liqueur,750,32.21,Cole and Sons,Johnsonberg,FL,South,Wholesale,2025-05-07,24,35.04,840.96
103,105,131,Captain Morgan Again,Captain,Beer,500,18.69,Mcdonald PLC,New Stacey,SC,Midwest,Wholesale,2025-05-05,12,58.57,702.84
104,105,134,Baileys Than,Baileys,Tequila,500,16.34,"Cross, Burns and Gay",North Jon,CT,West,Wholesale,2025-04-30,7,56.17,393.19
105,108,117,Captain Morgan It,Captain,Whisky,700,42.54,Shelton Group,West Stephanieville,NJ,West,Retail,2025-03-25,42,79.97,3358.74
106,105,116,Guinness Wonder,Guinness,Gin,1000,30.2,Coffey-Mathis,East Mary,PA,Midwest,Wholesale,2025-05-12,27,33.22,896.94
107,106,149,Don Julio Organization,Don,Gin,500,11.16,"Mccall, Jensen and Lee",North Kristyfurt,TX,Southeast,Retail,2025-04-22,23,15.0,345.0
108,101,121,Guinness Animal,Guinness,Whisky,700,6.36,Moore Inc,West Derekton,TX,Midwest,Retail,2025-04-20,13,19.63,255.19
109,103,123,Don Julio Trip,Don,Rum,750,18.94,Robertson LLC,Carlosbury,MN,South,Retail,2025-05-16,29,65.46,1898.34
110,110,106,Tanqueray Cell,Tanqueray,Whisky,1000,12.91,Garcia LLC,East Kenneth,MP,Southeast,Wholesale,2025-04-05,41,65.22,2674.02
111,104,118,Captain Morgan Factor,Captain,Liqueur,750,12.74,Hernandez Group,Katherineborough,ME,Southeast,Wholesale,2025-04-26,31,39.59,1227.29
112,104,121,Ciroc Expect,Ciroc,Rum,700,10.87,Simmons and Sons,North Matthewhaven,MD,West,Wholesale,2025-05-09,21,16.37,343.77
113,104,137,Guinness Decade,Guinness,Vodka,700,24.04,Williams Inc,North Haroldton,TN,Midwest,Retail,2025-03-31,31,27.98,867.38
114,109,150,Guinness Model,Guinness,Gin,700,34.25,Palmer Inc,North Ashley,WI,South,Wholesale,2025-05-20,3,58.16,174.48
115,107,143,Tanqueray Value,Tanqueray,Gin,1000,4.09,Moore and Sons,Lake Tracie,ID,South,Retail,2025-04-28,37,21.75,804.75
116,105,145,Guinness Produce,Guinness,Liqueur,500,26.7,Serrano-Perkins,Jonesmouth,HI,Southeast,Wholesale,2025-05-05,20,98.1,1962.0
117,102,138,Baileys Say,Baileys,Rum,750,41.03,"Nelson, Griffin and Browning",South James,CT,Northeast,Wholesale,2025-04-20,49,32.31,1583.19
118,105,129,Don Julio Follow,Don,Rum,500,7.69,Peterson Inc,Caitlinton,NY,West,Wholesale,2025-04-20,8,51.83,414.64
119,107,150,Ciroc Wind,Ciroc,Gin,500,15.85,"Villanueva, Herrera and Weber",East Michael,VT,Midwest,Retail,2025-04-05,4,67.89,271.56
120,104,136,Don Julio Perform,Don,Whisky,700,35.62,"Lewis, Anderson and Franco",South Jenniferchester,MS,West,Retail,2025-05-04,37,87.5,3237.5
121,107,116,Tanqueray Especially,Tanqueray,Tequila,700,19.5,"Esparza, Hill and Vega",Port Carrietown,NV,Midwest,Wholesale,2025-03-22,43,15.46,664.78
122,110,118,Smirnoff Approach,Smirnoff,Gin,700,6.54,Boyer-Petty,Lake Mark,AK,Midwest,Wholesale,2025-04-13,43,64.35,2767.05
123,105,113,Smirnoff Several,Smirnoff,Liqueur,700,39.66,Hernandez PLC,Rebeccaberg,PA,Northeast,Retail,2025-04-26,50,24.67,1233.5
124,110,138,Tanqueray Life,Tanqueray,Beer,1000,10.98,"Harris, Roberts and Peterson",Gibsonhaven,AL,Southeast,Wholesale,2025-04-13,50,95.42,4771.0
125,107,128,Guinness Suffer,Guinness,Liqueur,1000,43.76,Howell-Valencia,Crystaltown,WA,West,Wholesale,2025-05-10,6,74.89,449.34
126,101,138,Baileys Central,Baileys,Liqueur,750,43.82,"Acevedo, Reed and Collins",Andersonfort,KY,West,Wholesale,2025-04-28,42,50.15,2106.3
127,105,142,Baileys Everything,Baileys,Whisky,1000,18.09,Ryan and Sons,Smithmouth,GU,Southeast,Wholesale,2025-04-27,3,88.82,266.46
128,107,113,Smirnoff Of,Smirnoff,Tequila,500,5.96,"Miller, Barrera and Hughes",Romanhaven,NV,West,Wholesale,2025-04-25,23,83.07,1910.61
129,107,136,Captain Morgan Mouth,Captain,Rum,750,15.75,Nelson Group,West David,OR,Midwest,Retail,2025-04-29,27,82.08,2216.16
130,106,104,Ciroc Whatever,Ciroc,Liqueur,500,26.41,Reed Inc,Hobbsfort,CT,Northeast,Retail,2025-03-23,4,35.92,143.68
131,108,146,Don Julio Hand,Don,Liqueur,750,8.42,Gomez-Green,New Luis,PW,West,Retail,2025-05-13,9,82.34,741.06
132,108,148,Captain Morgan Spend,Captain,Whisky,500,39.44,"Valencia, Wang and Gibson",Conniebury,KS,Southeast,Wholesale,2025-04-13,44,84.94,3737.36
133,103,146,Johnnie Walker Record,Johnnie,Liqueur,1000,12.36,Shaffer PLC,Johnstad,MI,Southeast,Wholesale,2025-05-01,20,57.38,1147.6
134,106,114,Don Julio According,Don,Whisky,700,29.07,"Jimenez, Huerta and Parker",Davisport,NM,West,Retail,2025-05-01,26,37.5,975.0
135,106,144,Johnnie Walker Which,Johnnie,Beer,700,19.8,Flores-Robles,Lake David,OK,Northeast,Wholesale,2025-04-23,42,9.66,405.72
136,106,133,Smirnoff Possible,Smirnoff,Vodka,500,8.36,Gray Ltd,South Fredhaven,TN,Midwest,Wholesale,2025-05-03,10,48.84,488.4
137,102,110,Ciroc Television,Ciroc,Tequila,1000,21.89,"Schmitt, Hall and Taylor",Kyleberg,WA,Midwest,Wholesale,2025-05-14,3,73.58,220.74
138,103,106,Ciroc Point,Ciroc,Whisky,500,18.65,Green LLC,Port Lisa,ME,South,Retail,2025-03-28,2,45.21,90.42
139,105,128,Tanqueray Do,Tanqueray,Gin,750,6.23,Garcia PLC,New Johnbury,VT,South,Retail,2025-04-10,41,62.07,2544.87
140,105,132,Johnnie Walker Now,Johnnie,Beer,1000,12.6,Anderson LLC,Fordhaven,NE,Midwest,Retail,2025-04-30,11,62.87,691.57
141,102,116,Tanqueray Now,Tanqueray,Beer,700,17.55,Suarez Ltd,North Allison,MP,Southeast,Retail,2025-04-02,46,43.36,1994.56
142,101,147,Guinness Among,Guinness,Tequila,750,14.49,Hood-Thomas,Oliviamouth,GA,Southeast,Retail,2025-05-16,35,56.74,1985.9
143,110,149,Don Julio Important,Don,Liqueur,750,19.25,Edwards-Ruiz,Port Nancy,GU,Southeast,Wholesale,2025-04-05,5,97.35,486.75
144,106,126,Smirnoff Like,Smirnoff,Vodka,500,32.59,Jackson-Stevenson,Sydneytown,GU,West,Retail,2025-05-11,32,23.73,759.36
145,110,116,Guinness Kitchen,Guinness,Rum,1000,20.84,"Clayton, Everett and Gilbert",New Matthew,PA,South,Wholesale,2025-05-12,13,74.09,963.17
146,103,147,Don Julio Behavior,Don,Liqueur,1000,11.38,"Carlson, Shaw and Collier",North Erin,WY,Midwest,Wholesale,2025-04-01,11,11.09,121.99
147,109,122,Baileys Goal,Baileys,Whisky,1000,20.42,Lopez-Cruz,East Laurafurt,IN,Midwest,Wholesale,2025-03-30,36,94.08,3386.88
148,103,135,Tanqueray Hard,Tanqueray,Whisky,700,17.57,Johnson-Reeves,South Patricia,MA,Northeast,Retail,2025-05-01,5,14.23,71.15
149,110,132,Guinness Table,Guinness,Liqueur,1000,27.47,"Johnson, Barrera and Hunter",New Justinmouth,MD,Northeast,Wholesale,2025-04-23,39,64.0,2496.0
150,105,128,Don Julio Knowledge,Don,Gin,750,34.98,"Mcclure, Murray and Wilson",Port Victor,MI,Northeast,Retail,2025-04-23,3,89.94,269.82
151,104,105,Johnnie Walker Join,Johnnie,Beer,1000,30.96,Bell PLC,South Susanborough,MT,Southeast,Retail,2025-04-01,41,47.08,1930.28
152,101,133,Captain Morgan Song,Captain,Rum,1000,43.07,Cooke-Hughes,East Sean,HI,Midwest,Retail,2025-04-16,49,82.41,4038.09
153,102,129,Tanqueray Loss,Tanqueray,Tequila,700,9.51,"Navarro, Huff and Bradley",Ericview,NJ,Southeast,Wholesale,2025-04-06,49,81.85,4010.65
154,103,150,Johnnie Walker Top,Johnnie,Vodka,1000,32.56,Ross PLC,Carloston,NJ,South,Retail,2025-04-20,47,10.5,493.5
155,108,110,Ciroc Sound,Ciroc,Beer,500,18.55,Barnes-Brown,Oconnellhaven,OK,West,Retail,2025-05-06,9,45.39,408.51
156,109,113,Guinness Write,Guinness,Liqueur,700,10.31,"Gonzalez, Gordon and Pearson",Angelaville,ID,Southeast,Wholesale,2025-05-04,4,29.82,119.28
157,105,145,Don Julio Difference,Don,Vodka,1000,34.92,"Kelly, Austin and Estrada",South Laurieberg,ND,Southeast,Retail,2025-05-06,44,81.87,3602.28
158,104,127,Guinness Where,Guinness,Beer,750,9.14,Haas-Jones,South Jennifer,FL,Midwest,Retail,2025-03-24,32,94.68,3029.76
159,107,106,Johnnie Walker Sport,Johnnie,Gin,750,25.47,"Taylor, Simpson and Lynn",Hillville,MI,Southeast,Retail,2025-05-18,41,57.34,2350.94
160,108,110,Don Julio Identify,Don,Rum,700,32.88,Pratt Ltd,West Stephanie,UT,Southeast,Retail,2025-04-29,41,40.83,1674.03
161,110,139,Johnnie Walker Style,Johnnie,Vodka,1000,43.96,Lopez Group,Lake Shane,VT,Northeast,Wholesale,2025-04-27,8,38.42,307.36
162,103,116,Guinness Able,Guinness,Gin,750,39.75,Oconnell-Guerra,Robinsonview,VA,Southeast,Wholesale,2025-05-01,3,31.11,93.33
163,109,112,Ciroc Here,Ciroc,Gin,750,10.35,"Nielsen, Chang and Baker",Susanton,OK,Midwest,Wholesale,2025-04-03,48,60.82,2919.36
164,105,140,Don Julio Management,Don,Rum,700,12.42,Jones-Bell,West Howard,HI,Midwest,Retail,2025-04-10,41,42.39,1737.99
165,110,104,Captain Morgan Least,Captain,Tequila,500,8.16,Davis and Sons,New Stephanie,KS,Midwest,Retail,2025-04-05,31,80.58,2497.98
166,107,112,Baileys Red,Baileys,Beer,500,22.86,"Gutierrez, Schneider and Cortez",New Valerie,IN,West,Wholesale,2025-03-30,7,14.3,100.1
167,105,140,Don Julio Nation,Don,Gin,500,21.1,Farrell and Sons,Lake Tinaland,MO,Northeast,Retail,2025-03-29,43,36.08,1551.44
168,103,108,Baileys Among,Baileys,Gin,750,32.08,"West, Lucas and Rodriguez",Port Karen,OH,Northeast,Wholesale,2025-05-04,8,91.65,733.2
169,103,120,Guinness Those,Guinness,Whisky,500,15.69,Potter-Green,Johnsonchester,MI,Northeast,Wholesale,2025-04-01,1,80.67,80.67
170,110,138,Guinness Allow,Guinness,Whisky,500,31.96,Schneider-Kramer,Juliafort,AK,Midwest,Retail,2025-04-23,7,39.92,279.44
171,104,133,Tanqueray Yourself,Tanqueray,Tequila,750,8.83,"Hayes, Yang and Williams",Andreahaven,NJ,Midwest,Wholesale,2025-03-24,41,9.05,371.05
172,110,120,Guinness Need,Guinness,Beer,750,6.15,Brown-Mitchell,Caitlinchester,MI,Midwest,Wholesale,2025-03-27,26,30.35,789.1
173,110,146,Smirnoff Writer,Smirnoff,Gin,500,39.02,"Johnson, Wheeler and Rosales",Stevensborough,MO,Southeast,Retail,2025-04-18,25,92.87,2321.75
174,110,112,Tanqueray Light,Tanqueray,Tequila,500,7.72,Davis PLC,North Michaelview,KY,Midwest,Wholesale,2025-04-08,43,29.92,1286.56
175,109,132,Baileys Pass,Baileys,Beer,750,11.1,Nguyen PLC,North Waynechester,OH,Midwest,Wholesale,2025-05-12,43,26.43,1136.49
176,108,128,Ciroc Enjoy,Ciroc,Tequila,750,7.64,Johnson-Banks,Stephanieside,AR,South,Retail,2025-04-26,7,74.49,521.43
177,105,123,Baileys Media,Baileys,Vodka,500,19.43,Murphy PLC,Delacruzburgh,AS,West,Wholesale,2025-04-19,2,26.08,52.16
178,104,111,Johnnie Walker Green,Johnnie,Liqueur,500,17.64,"Lee, Aguilar and Oconnell",Port Erinmouth,TX,West,Wholesale,2025-03-24,39,93.45,3644.55
179,103,118,Tanqueray Exist,Tanqueray,Vodka,500,10.28,Gay LLC,Barrettchester,AL,Southeast,Retail,2025-04-29,15,42.83,642.45
180,102,107,Tanqueray Choice,Tanqueray,Vodka,750,12.75,Murphy-Moreno,Lake Kenneth,HI,Northeast,Retail,2025-05-15,25,75.81,1895.25
181,108,148,Baileys Season,Baileys,Rum,750,31.49,"Ford, Wu and Price",Wigginsborough,LA,South,Wholesale,2025-04-28,11,7.07,77.77
182,103,107,Baileys Letter,Baileys,Liqueur,700,43.64,Jackson-Chandler,Jamesborough,WA,Northeast,Wholesale,2025-04-18,23,71.97,1655.31
183,109,139,Guinness Somebody,Guinness,Liqueur,750,43.2,"Jones, Jacobs and Martinez",West Erinview,AL,Southeast,Retail,2025-04-25,46,95.14,4376.44
184,105,105,Baileys Maybe,Baileys,Tequila,1000,36.18,Adams Ltd,West Candiceside,HI,South,Wholesale,2025-05-09,27,64.82,1750.14
185,105,103,Johnnie Walker Its,Johnnie,Whisky,750,20.92,"Santiago, Burgess and Schultz",Port Matthewfurt,SC,South,Retail,2025-05-02,39,72.21,2816.19
186,104,142,Johnnie Walker Against,Johnnie,Liqueur,700,41.16,Sullivan-Frey,New Denise,MT,West,Retail,2025-04-15,29,32.11,931.19
